Goal_l,IF_thresh_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.0,0.0,0.9892038350576615,0.8764527886768942,0.3618636237423767,252.51640777813927,158.68165668263825,-0.49
1.0,0.0,0.9895185287345799,0.882277576559976,0.36169432398320384,251.31529641398737,158.72697374869014,-0.48
1.0,0.0,0.9898316047494816,0.8880210857574157,0.3615320277638441,250.2236317508958,158.77207141994583,-0.47
1.0,0.0,0.990143722082414,0.8937608646868724,0.36136550820547836,249.27793947470383,158.8170549950995,-0.46
1.0,0.0,0.9904558814497181,0.8994969657068721,0.36118167389020667,248.52306231824127,158.86206121211495,-0.45
1.0,0.0,0.990768965160959,0.9052295218217097,0.36100076930193964,247.99774897653296,158.90725873578396,-0.44
1.0,0.0,0.9910842799420456,0.910958619551896,0.36081933792901627,247.71131133274403,158.95285305053488,-0.43
1.0,0.0,0.9914033062150345,0.9166842714103678,0.36063844247991467,247.63413119598883,158.9990907813291,-0.42
1.0,0.0,0.9917278199405288,0.9224066019657833,0.36045743409561587,247.70717856080037,159.04626055369351,-0.41
1.0,0.0,0.9920598619793657,0.9281257600723966,0.3602759034395628,247.86441392563478,159.09469588922582,-0.4
1.0,0.0,0.9924017552137064,0.9338419220752092,0.3600934374112556,248.0519453256555,159.1447759014536,-0.39
1.0,0.0,0.9927561088487621,0.9395552956126579,0.3599094337502446,248.23518028324435,159.19692435250835,-0.38
1.0,0.0,0.9931258169982338,0.9452661242091982,0.35972168767197443,248.3966184877599,159.2516065023519,-0.37
1.0,0.0,0.9935262784463132,0.9509746928610991,0.35952884750682124,248.53034154572833,159.30920112191018,-0.36
1.0,0.0,0.9939684806876113,0.9566813347972735,0.35933127544223303,248.63697765805986,159.37021827859738,-0.35
1.0,0.0,0.9944381575173952,0.9623864395294162,0.3591291347853626,248.72023746740265,159.4354039286733,-0.34
1.0,0.0,0.9949393088980926,0.9680904621787859,0.3589218663746889,248.78481229886015,159.50530873405907,-0.33
1.0,0.0,0.9954761491329133,0.9737939338553224,0.35870921536322414,248.83509208543876,159.5804808604704,-0.32
1.0,0.0,0.9960530912911758,0.9794974724606273,0.35849097334621033,248.87451216226097,159.66145206150748,-0.31
1.0,0.0,0.9963331459255915,0.9852017922865052,0.35836662709529055,248.90507048620793,159.69045561783673,-0.3
1.0,0.0,0.9964556011093717,0.9884296646598842,0.35829901175179435,248.92740123184157,159.69121689922824,-0.29
1.0,0.0,0.9973060180037299,0.9917351019451786,0.357992049538713,248.94179764827098,159.8349242222406,-0.28
1.0,0.0,0.9980746755811658,0.9947219968973919,0.3576384740120558,248.9500162646826,160.00303568471472,-0.27
1.0,0.0,0.998699678362745,0.9962975275637433,0.3572783221912341,248.95123866331204,160.16963030616012,-0.26
1.0,0.0,0.9991630380910468,0.9974053319070076,0.3569068233602068,248.95123886318106,160.33564929936307,-0.25
1.0,0.0,0.999601161862202,0.9985334577771712,0.3565153073142037,248.9512359399877,160.50200253103688,-0.24
1.0,0.0,1.0,1.0,0.3561754893135849,248.95123080849714,160.63380577078314,-0.23
1.0,0.0,1.0,1.0,0.3561375822003976,248.95122283522898,160.6338057707832,-0.22
1.0,0.0,1.0,1.0,0.35609592231740456,248.95121032269932,160.6338057707832,-0.21
1.0,0.0,1.0,1.0,0.3560397644290787,248.95120383636396,160.63380577078317,-0.2
1.0,0.0,1.0,1.0,0.35599109931033146,248.95120177665953,160.63380577078323,-0.19
1.0,0.0,1.0,1.0,0.35593786905920805,248.95119918234045,160.63380577078317,-0.18
1.0,0.0,1.0,1.0,0.35588030503417983,248.95111228866529,160.63380577078317,-0.17
1.0,0.0,1.0,1.0,0.35581913691793043,248.95088703615016,160.6338057707832,-0.16
1.0,0.0,1.0,1.0,0.35574121767795197,248.95044712943584,160.6338057707832,-0.15
1.0,0.0,1.0,1.0,0.3556530384361661,248.94960537605127,160.63380577078308,-0.14
1.0,0.0,1.0,1.0,0.35556661642678017,248.94813535227755,160.63380577078314,-0.13
1.0,0.0,1.0,1.0,0.3554834646482025,248.94740549960403,160.63380577078325,-0.12
1.0,0.0,1.0,1.0,0.35540472935129125,248.94005713094566,160.6338057707832,-0.11
1.0,0.0,1.0,1.0,0.35533011302324186,248.92620818286935,160.6338057707831,-0.1
1.0,0.0,1.0,1.0,0.35525948666949797,248.90307202843883,160.6338057707831,-0.09
1.0,0.0,1.0,1.0,0.3551926149540168,248.864334580548,160.63380577078317,-0.08
1.0,0.0,1.0,1.0,0.35512923724493134,248.79897779322718,160.63380577078323,-0.07
1.0,0.0,1.0,1.0,0.3550690992273065,248.6868750852776,160.63380577078317,-0.06
1.0,0.0,1.0,1.0,0.35501196158970155,248.6633370100104,160.63380577078314,-0.05
1.0,0.0,1.0,1.0,0.3549576103239809,248.6633370100104,160.6338057707831,-0.04
