MagCAPShock,IF_sens_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.24,4.710805822269944,51.0,1.0,1.0,200.92389864520123,481.52646600944723,-0.24
-0.23,4.710805822269944,51.0,1.0,1.0,200.96320107355297,479.5035592666833,-0.23
-0.22,4.710805822269944,51.0,1.0,1.0,201.00412198009906,478.1406319469298,-0.22
-0.21,4.710805822269944,51.0,1.0,1.0,201.0458684510917,477.1952482522256,-0.21
-0.2,4.710805822269944,51.0,1.0,1.0,201.08019327413356,475.4607048528605,-0.2
-0.19,4.710805822269944,51.0,1.0,1.0,201.11377485819554,473.5438854231844,-0.19
-0.18,4.710805822269944,51.0,1.0,1.0,201.14758901595502,472.2943275632777,-0.18
-0.17,4.710805822269944,51.0,1.0,1.0,201.18129890128506,471.408310522613,-0.17
-0.16,4.710805822269944,51.0,1.0,1.0,201.21482099972613,470.72773761642486,-0.16
-0.15,4.710805822269944,51.0,1.0,1.0,201.91864354406854,470.35040051843094,-0.15
-0.14,4.710805822269944,51.0,1.0,1.0,204.17691919438923,489.1794691110437,-0.14
-0.13,4.710805822269944,51.0,1.0,1.0,204.24940972579208,496.02862190285083,-0.13
-0.12,4.710805822269944,51.0,1.0,1.0,205.67743898220812,527.0491559132132,-0.12
-0.11,4.710805822269944,51.0,1.0,1.0,208.23347840995646,469.37580729589035,-0.11
-0.1,4.710805822269944,51.0,1.0,1.0,208.97574382293385,527.6761012911425,-0.1
-0.09,4.710805822269944,51.0,1.0,1.0,210.7711345866989,463.15954453950553,-0.09
-0.08,4.710805822269944,51.0,1.0,1.0,211.0603778247219,503.3896727975383,-0.08
-0.07,4.710805822269944,51.0,1.0,1.0,212.89298389587015,509.3147538611552,-0.07
-0.06,4.710805822269944,51.0,1.0,1.0,214.22639407436938,524.1784428168705,-0.06
-0.05,4.710805822269944,51.0,1.0,1.0,211.0136810008515,506.9755722837103,-0.05
-0.04,4.710805822269944,51.0,1.0,1.0,216.9731561313085,501.298476523366,-0.04
-0.03,4.710805822269944,51.0,1.0,1.0,218.10867836824727,521.4489043024456,-0.03
-0.02,4.710805822269944,51.0,1.0,1.0,219.819893822034,506.51145741540137,-0.02
-0.01,4.710805822269944,51.0,1.0,1.0,221.52833739943534,499.0478383035596,-0.01
